"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2026","Colgate",68.4075,260,68.565,268,106.268,177,107.832,153,112.123,253,109.386,206,-1.55376,168
"2026","Colorado",71.6356,145,70.4082,154,128.758,10,117.339,47,110.971,233,107.532,161,9.80697,88
"2026","Colorado St.",65.2475,347,66.0385,355,137.906,2,120.869,17,113.127,264,109.51,211,11.3584,78
"2026","Columbia",67.0146,310,68.7736,254,111.128,126,106.801,177,99.1448,93,106.474,140,0.326549,145
"2026","Connecticut",68.4729,256,67.6789,308,121.877,40,122.32,10,89.8112,24,96.1213,14,26.1987,11
"2026","Coppin St.",70.3821,187,70.2413,169,85.1787,356,90.9991,364,123.503,345,116.209,347,-25.2101,364
"2026","Cornell",75.7065,27,74.2775,13,112.187,118,109.687,124,108.655,191,111.624,265,-1.93674,177
"2026","Creighton",68.43,259,68.604,264,113.757,100,117.525,44,102.158,121,102.687,88,14.8383,53
"2026","CSUN",75.2906,34,74.5153,9,103.804,210,106.711,181,115.012,284,110.16,225,-3.44884,202
"2026","Dartmouth",72.9917,93,73.458,30,95.0147,308,101.437,288,110.564,226,112.998,307,-11.5614,305
"2026","Davidson",67.0225,309,68.0408,292,106.179,180,108.503,139,104.387,148,105.069,111,3.43331,125
"2026","Dayton",69.4868,223,68.8386,246,111.994,122,111.953,98,94.2024,39,99.2488,35,12.704,69
"2026","Delaware",66.7688,317,68.952,241,104.424,204,105.853,203,117.487,306,112.798,303,-6.9443,247
"2026","Delaware St.",66.8375,315,68.6097,262,78.0821,365,93.3983,361,118.19,311,115.275,334,-21.8764,362
"2026","Denver",68.6542,250,68.9338,242,111.321,125,108.926,134,123.847,346,116.837,351,-7.911,265
"2026","DePaul",71.7458,138,70.2592,166,112.51,112,109.12,133,96.1062,62,103.329,95,5.79137,111
"2026","Detroit Mercy",72.9229,96,71.8408,86,95.3481,303,100.804,299,122.232,336,114.652,331,-13.8481,329
"2026","Drake",66.2931,324,68.1184,287,104.329,208,106.928,175,100.379,104,105.522,127,1.40574,137
"2026","Drexel",68.0188,273,67.1847,326,101.789,235,102.054,269,109.106,198,110.617,239,-8.56276,274
"2026","Duke",71.1589,163,69.6692,207,131.371,5,125.156,3,80.3363,1,93.305,7,31.8505,1
"2026","Duquesne",75.0796,39,73.546,27,112.934,106,108.753,138,105.03,152,105.311,118,3.442,124
"2026","East Carolina",73.0094,92,70.8739,131,98.3259,275,101.759,275,116.036,294,108.501,187,-6.7414,243
"2026","East Tennessee St.",67.89,277,68.9905,237,115.109,94,108.469,140,95.1018,49,105.801,129,2.66807,131
"2026","East Texas A&M",71.8969,131,69.9606,187,91.7407,335,97.0861,351,108.05,183,111.186,254,-14.1,333
"2026","Eastern Illinois",67.175,303,67.9501,296,89.0685,346,97.1977,350,112.439,259,109.374,205,-12.1765,313
"2026","Eastern Kentucky",74.4075,55,71.9766,77,100.399,248,105.424,211,120.905,329,114.203,328,-8.77956,277
"2026","Eastern Michigan",71.3438,155,69.7516,196,101.009,239,102.98,256,106.489,170,109.484,210,-6.50393,241
"2026","Eastern Washington",71.2481,157,71.3266,115,99.6032,261,105.986,199,119.694,320,113.9,322,-7.91389,266
"2026","Elon",70.4936,184,69.2204,223,121.641,41,111.688,101,115.92,291,113.577,315,-1.88923,176
"2026","Evansville",68.2438,264,69.579,211,95.1043,304,99.6987,319,119.173,318,111.099,253,-11.4001,303
"2026","Fairfield",70.56,182,70.6214,142,105.678,192,104.145,238,104.094,140,111.295,255,-7.15002,250
"2026","Fairleigh Dickinson",72.385,115,72.2434,69,92.8512,329,99.2159,326,120.48,324,118.602,359,-19.3859,358
"2026","FIU",74.1417,64,72.043,75,98.76,270,103.971,242,122.984,342,109.751,218,-5.78018,226
"2026","Florida",76.9875,13,73.6203,24,112.355,115,120.233,20,88.995,20,92.5675,5,27.666,6
"2026","Florida A&M",77.8313,9,71.9026,83,82.0991,361,95.704,357,121.487,331,113.72,320,-18.0159,352
"2026","Florida Atlantic",67.2342,300,69.6756,205,117.373,69,114.109,71,106.511,171,107.663,166,6.44538,105
"2026","Florida Gulf Coast",71.955,127,70.0314,181,118.04,67,110.383,115,119.146,317,110.992,247,-0.60875,153
"2026","Florida St.",78.7525,7,74.4762,10,119.671,58,113.586,75,92.3111,30,100.392,59,13.1936,65
"2026","Fordham",65.0062,352,66.2699,347,101.597,236,103.642,248,100.765,108,109.802,220,-6.16012,235
"2026","Fresno St.",71.6292,147,71.6239,96,107.286,165,106.139,194,101.379,115,107.811,170,-1.67244,171
"2026","Furman",67.1719,305,68.256,279,103.318,219,107.764,155,115.181,286,109.281,203,-1.51663,166
"2026","Gardner Webb",74.3475,57,73.9242,18,89.2955,343,99.4726,321,127.733,358,115.524,339,-16.051,345
"2026","George Mason",68.125,270,67.7733,305,116.469,77,111.871,99,88.8363,18,99.6473,44,12.2237,72
"2026","George Washington",73.9571,69,72.7344,48,122.657,33,118.153,38,96.836,65,104.126,99,14.0271,60
"2026","Georgetown",71.21,160,71.3065,117,115.372,91,112.967,80,98.1034,72,101.536,76,11.4312,76
"2026","Georgia",76.6673,16,74.8508,7,122.565,34,118.149,39,88.4655,15,100.132,54,18.0165,37
"2026","Georgia Southern",76.6375,17,73.9789,17,103.504,216,106.056,197,110.409,225,111.863,273,-5.80723,227
"2026","Georgia St.",69.2825,228,69.4863,217,85.3239,355,98.3391,341,111.85,248,112.306,288,-13.9674,330
"2026","Georgia Tech",73.8954,71,72.2626,68,96.6714,293,104.688,220,83.8676,4,97.0125,15,7.67577,95
"2026","Gonzaga",74.5146,52,72.2685,67,125.853,20,123.469,6,83.9103,5,92.8264,6,30.6431,3
"2026","Grambling St.",69.5021,220,69.5159,216,98.906,269,99.8944,313,113.626,271,110.617,240,-10.723,298
"2026","Grand Canyon",72.64,106,71.7037,91,112.568,110,111.583,102,101.917,118,104.444,104,7.13888,99
"2026","Green Bay",65.6157,342,66.6979,343,102.729,226,104.575,224,118.566,314,113.722,321,-9.14647,279
"2026","Hampton",66.0229,333,67.7745,304,96.761,291,101.874,274,109.735,209,109.317,204,-7.44367,256
"2026","Harvard",65.2146,348,67.1909,325,110.05,131,107.523,160,106.433,169,109.464,209,-1.94097,178
"2026","Hawaii",72.9917,93,71.5715,104,109.242,141,106.35,189,89.0628,21,99.414,38,6.93563,101
"2026","High Point",70.8438,172,71.0449,125,125.504,23,117.855,41,102.234,123,107.05,151,10.8052,85
"2026","Hofstra",72.8688,98,69.7761,195,106.417,173,105.728,208,110.258,221,106.27,135,-0.542397,152
"2026","Holy Cross",67.2946,298,67.3811,319,96.1832,299,99.8998,312,117.321,304,115.493,338,-15.5928,342
"2026","Houston",66.0139,334,66.0978,353,114.02,97,118.422,36,83.8587,3,89.4037,1,29.018,4
"2026","Houston Christian",69.725,212,68.3899,275,94.6209,311,99.588,320,99.7339,96,109.273,202,-9.685,283
"2026","Howard",69.7042,213,70.3223,161,96.948,288,99.936,311,108.091,184,111.767,270,-11.8306,309
"2026","Idaho",69.5125,219,68.8598,244,107.386,163,107.204,169,112.258,255,112.334,290,-5.13041,222
"2026","Idaho St.",62.8563,363,64.8298,362,102.259,232,104.523,227,114.681,282,110.489,236,-5.96536,231
"2026","Illinois",72.7339,105,71.6409,94,129.983,7,123.397,7,95.8047,56,97.4893,21,25.9081,14
"2026","Illinois Chicago",71.65,143,70.6033,143,110.004,133,106.778,178,104.32,146,106.48,141,0.297308,146
"2026","Illinois St.",70.7825,176,68.572,265,109.194,144,110.313,116,98.5447,81,105.392,120,4.92071,113
"2026","Incarnate Word",67.0969,307,68.0136,294,108.437,151,109.293,131,126.636,357,113.088,309,-3.7946,205
"2026","Indiana",70.3075,189,68.8044,252,125.041,24,118.573,31,88.6648,17,97.9284,23,20.6447,24
"2026","Indiana St.",70.6425,178,72.7821,46,94.5446,312,102.782,259,98.5047,80,104.325,103,-1.54273,167
"2026","Iona",74.4493,54,74.033,16,109.841,135,106.562,183,105.045,153,109.409,207,-2.84702,189
"2026","Iowa",66.2525,327,65.3234,358,136.379,3,120.887,16,94.3504,41,100.832,64,20.0546,29
"2026","Iowa St.",72.09,122,70.1612,172,128.907,9,120.84,18,91.9015,29,94.6772,9,26.163,13
"2026","IU Indy",83.2107,1,78.9073,1,106.319,174,104.443,228,121.616,332,120.269,364,-15.8255,344
"2026","Jackson St.",72.8333,100,70.9386,128,83.6837,359,99.7185,317,135.042,365,113.55,314,-13.8319,328
"2026","Jacksonville",67.8075,280,67.972,295,96.8612,290,100.783,301,112.155,254,107.386,156,-6.60298,242
"2026","Jacksonville St.",68.8958,239,68.3824,276,98.0852,279,102.682,261,102.644,127,105.999,131,-3.31697,199
"2026","James Madison",69.5229,217,68.2911,278,112.563,111,111.294,106,113.242,265,112.792,302,-1.49808,165
"2026","Kansas",68.1646,268,69.0602,232,112.309,116,115.832,61,93.0453,34,94.9484,11,20.8838,22
"2026","Kansas City",74.6325,50,71.2055,119,89.14,344,98.3699,340,116.992,302,114.129,326,-15.7587,343
"2026","Kansas St.",75.8729,25,73.609,26,122.549,35,118.108,40,104.868,151,102.745,90,15.3629,49
"2026","Kennesaw St.",77.288,11,74.1779,15,112.114,119,109.34,128,109.713,208,109.45,208,-0.110165,149
"2026","Kent St.",75.4883,31,72.7859,45,119.944,57,112.837,82,109.339,204,109.27,201,3.56712,122
"2026","Kentucky",72.0813,123,72.1908,70,121.442,43,121.551,11,89.2714,22,95.2998,12,26.2507,10
"2026","La Salle",65.8875,338,66.7464,342,104.816,196,105.061,216,110.837,231,111.035,250,-5.97383,232
"2026","Lafayette",70.6175,179,69.5243,215,96.9103,289,100.519,304,122.949,340,115.464,337,-14.945,337
"2026","Lamar",69.9812,204,69.2869,221,100.04,252,101.115,292,104.124,141,105.496,124,-4.38058,210
"2026","Le Moyne",70.615,180,69.6722,206,103.683,214,102.758,260,117.517,307,117.834,356,-15.0763,338
"2026","Lehigh",68.9475,237,70.4634,150,92.9123,327,99.8271,315,108.163,185,110.465,235,-10.638,295
"2026","Liberty",65.9,336,67.5446,313,130.321,6,116.617,54,109.526,205,105.837,130,10.7801,86
"2026","Lindenwood",75.0062,42,73.148,35,90.4055,340,96.7578,353,110.291,222,109.071,196,-12.3134,314
"2026","Lipscomb",72.105,121,69.8536,191,98.2576,276,103.717,247,112.098,252,108.344,182,-4.62693,212
"2026","Little Rock",66.87,313,67.4699,315,93.4982,319,102.499,263,118.555,313,110.366,232,-7.86719,264
"2026","LIU",71.8286,136,71.3074,116,101.403,237,101.661,283,110.932,232,108.123,177,-6.46202,240
"2026","Long Beach St.",69.7025,215,69.0604,231,93.5652,318,102.444,264,111.34,239,110.26,228,-7.81571,263
"2026","Longwood",70.222,198,72.0509,74,104.516,201,104.363,232,111.787,245,112.718,300,-8.35474,270
"2026","Louisiana",65.1625,349,66.1122,352,90.3169,341,99.8278,314,115.71,288,112.374,292,-12.5459,316
"2026","Louisiana Monroe",71.8604,133,71.8173,87,94.7065,310,98.1681,344,120.327,323,118.124,358,-19.9557,359
"2026","Louisiana Tech",67.5625,287,67.3968,318,83.4683,360,99.4087,322,93.7306,36,102.725,89,-3.31615,198
"2026","Louisville",75.0229,41,72.325,65,127.074,17,125.434,2,87.5127,12,98.0416,25,27.3922,8
"2026","Loyola Chicago",65.3646,345,67.1576,329,106.273,176,107.008,174,121.624,333,113.35,313,-6.34281,239
"2026","Loyola Marymount",67.3289,296,67.1678,328,109.595,139,107.214,168,98.3723,75,103.04,93,4.17347,117
"2026","Loyola MD",69.5,221,68.9598,240,95.964,300,101.675,281,110.025,215,112.329,289,-10.6538,296
"2026","LSU",73.885,72,71.6089,98,133.734,4,119.183,29,95.3515,51,101.019,67,18.1639,36
"2026","Maine",66.4187,321,67.1771,327,87.7975,348,93.8118,360,103.108,132,106.377,139,-12.5656,317
"2026","Manhattan",71.63,146,70.2058,171,103.209,220,106.861,176,126.626,356,118.123,357,-11.2614,301
"2026","Marist",67.5062,289,67.0138,334,98.6303,271,98.4774,339,90.2554,26,100.245,56,-1.76756,173
"2026","Marquette",73.9905,67,73.1757,34,111.411,123,112.422,91,98.4793,79,100.993,66,11.4292,77
"2026","Marshall",74.0646,65,72.5327,56,113.551,103,108.088,148,105.233,156,107.435,159,0.65226,142
"2026","Maryland",71.5845,148,69.74,198,110.427,130,112.052,96,98.6673,83,98.7552,31,13.297,63
"2026","Maryland Eastern Shore",64.2617,357,64.4291,365,80.6683,363,92.6876,363,104.648,149,107.573,164,-14.885,335
